Timestamp,Epoch_Time_ms,MAG,D,P1,P2,P3
2026-06-19 17:00:44.923,1781906444924,1207.1202,7.0,0,0,0
2026-06-19 17:00:44.963,1781906444963,1207.1202,6.9,0,0,0
2026-06-19 17:00:45.003,1781906445003,1130.8263,6.9,0,0,0
2026-06-19 17:00:45.043,1781906445043,1130.8263,6.9,0,0,0
2026-06-19 17:00:45.083,1781906445083,1130.8263,6.4,0,0,0
2026-06-19 17:00:45.123,1781906445123,1130.8263,6.5,0,0,0
2026-06-19 17:00:45.163,1781906445163,1130.8263,6.5,0,0,0
2026-06-19 17:00:45.203,1781906445203,1130.8263,6.9,0,0,0
2026-06-19 17:00:45.243,1781906445243,1227.0040,6.4,0,0,0
2026-06-19 17:00:45.283,1781906445283,1227.0040,6.5,0,0,0
2026-06-19 17:00:45.323,1781906445323,1227.0040,6.3,0,0,0
2026-06-19 17:00:45.363,1781906445363,1227.0040,6.4,0,0,0
2026-06-19 17:00:45.403,1781906445403,1227.0040,6.4,0,0,0
2026-06-19 17:00:45.443,1781906445443,1227.0040,6.5,0,0,0
2026-06-19 17:00:45.483,1781906445484,1227.0040,6.4,0,0,0
2026-06-19 17:00:45.523,1781906445523,1220.8822,6.4,0,0,0
2026-06-19 17:00:45.563,1781906445563,1220.8822,6.4,0,0,0
2026-06-19 17:00:45.603,1781906445603,1220.8822,6.4,0,0,0
2026-06-19 17:00:45.643,1781906445643,1220.8822,6.4,0,0,0
2026-06-19 17:00:45.683,1781906445683,1220.8822,6.5,0,0,0
2026-06-19 17:00:45.723,1781906445723,1220.8822,6.4,0,0,0
2026-06-19 17:00:45.763,1781906445763,1203.6504,6.8,0,0,0
2026-06-19 17:00:45.803,1781906445803,1203.6504,6.4,0,0,0
2026-06-19 17:00:45.843,1781906445843,1203.6504,6.4,0,0,0
2026-06-19 17:00:45.884,1781906445884,1203.6504,6.5,0,0,0
2026-06-19 17:00:45.923,1781906445923,1203.6504,6.4,0,0,0
2026-06-19 17:00:45.963,1781906445963,1203.6504,6.4,0,0,0
2026-06-19 17:00:46.003,1781906446003,1203.6504,6.4,0,0,0
2026-06-19 17:00:46.044,1781906446044,1215.1929,6.4,0,0,0
2026-06-19 17:00:46.083,1781906446083,1215.1929,6.4,0,0,0
2026-06-19 17:00:46.123,1781906446123,1215.1929,6.4,0,0,0
2026-06-19 17:00:46.163,1781906446163,1215.1929,6.5,0,0,0
2026-06-19 17:00:46.204,1781906446204,1215.1929,6.5,0,0,0
2026-06-19 17:00:46.244,1781906446244,1215.1929,6.4,0,0,0
2026-06-19 17:00:46.283,1781906446284,1242.6003,6.9,0,0,0
2026-06-19 17:00:46.323,1781906446323,1242.6003,6.9,0,0,0
2026-06-19 17:00:46.363,1781906446363,1242.6003,7.0,0,0,0
2026-06-19 17:00:46.403,1781906446403,1242.6003,7.4,0,0,0
2026-06-19 17:00:46.443,1781906446443,1242.6003,6.7,0,0,0
2026-06-19 17:00:46.483,1781906446483,1242.6003,6.8,0,0,0
2026-06-19 17:00:46.523,1781906446523,1242.6003,6.9,0,0,0
2026-06-19 17:00:46.563,1781906446563,1141.5579,6.9,0,0,0
2026-06-19 17:00:46.604,1781906446604,1141.5579,7.3,0,0,0
2026-06-19 17:00:46.643,1781906446643,1141.5579,7.9,0,0,0
2026-06-19 17:00:46.683,1781906446683,1141.5579,7.1,0,0,0
2026-06-19 17:00:46.723,1781906446723,1141.5579,7.2,0,0,0
2026-06-19 17:00:46.763,1781906446763,1141.5579,7.8,0,1,0
2026-06-19 17:00:46.803,1781906446803,988.9798,7.5,0,1,0
2026-06-19 17:00:46.843,1781906446843,988.9798,8.0,0,1,0
2026-06-19 17:00:46.883,1781906446883,988.9798,7.6,0,1,0
2026-06-19 17:00:46.923,1781906446923,988.9798,7.5,0,1,0
2026-06-19 17:00:46.963,1781906446963,988.9798,7.9,0,1,0
2026-06-19 17:00:47.003,1781906447003,988.9798,8.1,0,0,0
2026-06-19 17:00:47.044,1781906447044,988.9798,7.7,0,0,0
2026-06-19 17:00:47.083,1781906447083,867.5933,6.7,0,0,0
2026-06-19 17:00:47.123,1781906447123,867.5933,7.3,0,1,0
2026-06-19 17:00:47.163,1781906447163,867.5933,6.3,0,1,0
2026-06-19 17:00:47.203,1781906447203,867.5933,7.0,0,1,0
2026-06-19 17:00:47.243,1781906447243,867.5933,6.0,0,1,0
2026-06-19 17:00:47.283,1781906447283,867.5933,6.1,0,0,0
2026-06-19 17:00:47.324,1781906447324,966.3239,5.4,0,0,0
2026-06-19 17:00:47.363,1781906447363,966.3239,5.9,0,0,0
2026-06-19 17:00:47.403,1781906447403,966.3239,5.8,0,0,0
2026-06-19 17:00:47.443,1781906447443,966.3239,5.5,0,1,0
2026-06-19 17:00:47.484,1781906447484,966.3239,5.2,0,0,0
2026-06-19 17:00:47.524,1781906447524,966.3239,5.1,0,0,0
2026-06-19 17:00:47.563,1781906447563,966.3239,5.3,0,0,0
2026-06-19 17:00:47.603,1781906447603,2749.6787,5.2,0,0,0
2026-06-19 17:00:47.644,1781906447644,2749.6787,4.5,0,0,0
2026-06-19 17:00:47.683,1781906447683,2749.6787,5.0,0,0,0
2026-06-19 17:00:47.724,1781906447724,2749.6787,5.0,0,0,0
2026-06-19 17:00:47.764,1781906447764,2749.6787,5.0,0,0,0
2026-06-19 17:00:47.803,1781906447803,2749.6787,4.6,0,0,0
2026-06-19 17:00:47.843,1781906447843,3620.7271,5.0,0,0,0
2026-06-19 17:00:47.883,1781906447883,3620.7271,5.0,0,0,0
2026-06-19 17:00:47.923,1781906447923,3620.7271,5.1,0,0,0
2026-06-19 17:00:47.964,1781906447964,3620.7271,5.5,0,0,0
2026-06-19 17:00:48.003,1781906448003,3620.7271,5.5,0,0,0
2026-06-19 17:00:48.044,1781906448044,3620.7271,5.1,0,0,0
2026-06-19 17:00:48.084,1781906448084,3620.7271,5.7,0,0,0
2026-06-19 17:00:48.124,1781906448124,3108.6807,5.8,0,0,0
2026-06-19 17:00:48.163,1781906448163,3108.6807,5.4,0,0,0
2026-06-19 17:00:48.203,1781906448203,3108.6807,5.1,0,0,0
2026-06-19 17:00:48.243,1781906448243,3108.6807,5.1,0,0,0
2026-06-19 17:00:48.283,1781906448283,3108.6807,6.0,0,0,0
2026-06-19 17:00:48.323,1781906448323,3108.6807,6.0,0,0,0
2026-06-19 17:00:48.364,1781906448364,2080.7634,6.0,0,0,0
2026-06-19 17:00:48.403,1781906448403,2080.7634,5.6,0,0,0
2026-06-19 17:00:48.444,1781906448444,2080.7634,5.5,0,0,0
